Year,Units,Value
2000,National Assembly,3.68
2001,National Assembly,5.86
2002,National Assembly,5.86
2003,National Assembly,5.86
2004,National Assembly,5.54
2005,National Assembly,13.04
2006,National Assembly,13.38
2007,National Assembly,13.38
2008,National Assembly,14.38
2009,National Assembly,13.71
2010,National Assembly,14.72
2011,National Assembly,14.72
2012,National Assembly,14.72
2013,National Assembly,15.67
2014,National Assembly,15.67
2015,National Assembly,16.33
2016,National Assembly,16.33
2017,National Assembly,17.0
2018,National Assembly,17.0
2019,National Assembly,17.11
2020,National Assembly,17.29
2018,Local council,18.59
